country,QS Login,Status,seller_id,Task ID,associate_queue,associate,metric_wk_no,associate_action,correct associate action,Associate Key-Driver,Sub-Key driver,Defect Area Associate,QA Comments on Associate Action,Metric name,investigator_task,investigator_queue,investigator,verification_action,correct investigator action,Investigator Key-Driver,Defect Area Investigator,QA Comments on investigator Action,General Notes,Action_correctly_captured,Audit_outcome,associate_resolve date,Type_of_audit,If_data_correctly_captured
country111,QS Login111,Status111,seller_id111,Task ID111,associate_queue111,associate111,48,associate_action111,correct associate action111,Associate Key-Driver111,Sub-Key driver111,Defect Area Associate111,QA Comments on Associate Action111,Metric name111,investigator_task111,investigator_queue111,investigator111,verification_action111,correct investigator action111,Investigator Key-Driver111,Defect Area Investigator111,QA Comments on investigator Action111,General Notes111,Action_correctly_captured111,Audit_outcome111,13/07/2021,Type_of_audit111,If_data_correctly_captured111
country112,QS Login112,Status112,seller_id112,Task ID112,associate_queue112,associate112,48,associate_action112,correct associate action112,Associate Key-Driver112,Sub-Key driver112,Defect Area Associate112,QA Comments on Associate Action112,Metric name112,investigator_task112,investigator_queue112,investigator112,verification_action112,correct investigator action112,Investigator Key-Driver112,Defect Area Investigator112,QA Comments on investigator Action112,General Notes112,Action_correctly_captured112,Audit_outcome112,13/07/2021,Type_of_audit112,If_data_correctly_captured112
country113,QS Login113,Status113,seller_id113,Task ID113,associate_queue113,associate113,48,associate_action113,correct associate action113,Associate Key-Driver113,Sub-Key driver113,Defect Area Associate113,QA Comments on Associate Action113,Metric name113,investigator_task113,investigator_queue113,investigator113,verification_action113,correct investigator action113,Investigator Key-Driver113,Defect Area Investigator113,QA Comments on investigator Action113,General Notes113,Action_correctly_captured113,Audit_outcome113,13/07/2021,Type_of_audit113,If_data_correctly_captured113
country114,QS Login114,Status114,seller_id114,Task ID114,associate_queue114,associate114,48,associate_action114,correct associate action114,Associate Key-Driver114,Sub-Key driver114,Defect Area Associate114,QA Comments on Associate Action114,Metric name114,investigator_task114,investigator_queue114,investigator114,verification_action114,correct investigator action114,Investigator Key-Driver114,Defect Area Investigator114,QA Comments on investigator Action114,General Notes114,Action_correctly_captured114,Audit_outcome114,13/07/2021,Type_of_audit114,If_data_correctly_captured114
country115,QS Login115,Status115,seller_id115,Task ID115,associate_queue115,associate115,48,associate_action115,correct associate action115,Associate Key-Driver115,Sub-Key driver115,Defect Area Associate115,QA Comments on Associate Action115,Metric name115,investigator_task115,investigator_queue115,investigator115,verification_action115,correct investigator action115,Investigator Key-Driver115,Defect Area Investigator115,QA Comments on investigator Action115,General Notes115,Action_correctly_captured115,Audit_outcome115,13/07/2021,Type_of_audit115,If_data_correctly_captured115
country116,QS Login116,Status116,seller_id116,Task ID116,associate_queue116,associate116,48,associate_action116,correct associate action116,Associate Key-Driver116,Sub-Key driver116,Defect Area Associate116,QA Comments on Associate Action116,Metric name116,investigator_task116,investigator_queue116,investigator116,verification_action116,correct investigator action116,Investigator Key-Driver116,Defect Area Investigator116,QA Comments on investigator Action116,General Notes116,Action_correctly_captured116,Audit_outcome116,13/07/2021,Type_of_audit116,If_data_correctly_captured116
country117,QS Login117,Status117,seller_id117,Task ID117,associate_queue117,associate117,48,associate_action117,correct associate action117,Associate Key-Driver117,Sub-Key driver117,Defect Area Associate117,QA Comments on Associate Action117,Metric name117,investigator_task117,investigator_queue117,investigator117,verification_action117,correct investigator action117,Investigator Key-Driver117,Defect Area Investigator117,QA Comments on investigator Action117,General Notes117,Action_correctly_captured117,Audit_outcome117,13/07/2021,Type_of_audit117,If_data_correctly_captured117
country118,QS Login118,Status118,seller_id118,Task ID118,associate_queue118,associate118,48,associate_action118,correct associate action118,Associate Key-Driver118,Sub-Key driver118,Defect Area Associate118,QA Comments on Associate Action118,Metric name118,investigator_task118,investigator_queue118,investigator118,verification_action118,correct investigator action118,Investigator Key-Driver118,Defect Area Investigator118,QA Comments on investigator Action118,General Notes118,Action_correctly_captured118,Audit_outcome118,13/07/2021,Type_of_audit118,If_data_correctly_captured118
country119,QS Login119,Status119,seller_id119,Task ID119,associate_queue119,associate119,48,associate_action119,correct associate action119,Associate Key-Driver119,Sub-Key driver119,Defect Area Associate119,QA Comments on Associate Action119,Metric name119,investigator_task119,investigator_queue119,investigator119,verification_action119,correct investigator action119,Investigator Key-Driver119,Defect Area Investigator119,QA Comments on investigator Action119,General Notes119,Action_correctly_captured119,Audit_outcome119,13/07/2021,Type_of_audit119,If_data_correctly_captured119
country120,QS Login120,Status120,seller_id120,Task ID120,associate_queue120,associate120,48,associate_action120,correct associate action120,Associate Key-Driver120,Sub-Key driver120,Defect Area Associate120,QA Comments on Associate Action120,Metric name120,investigator_task120,investigator_queue120,investigator120,verification_action120,correct investigator action120,Investigator Key-Driver120,Defect Area Investigator120,QA Comments on investigator Action120,General Notes120,Action_correctly_captured120,Audit_outcome120,13/07/2021,Type_of_audit120,If_data_correctly_captured120
country121,QS Login121,Status121,seller_id121,Task ID121,associate_queue121,associate121,48,associate_action121,correct associate action121,Associate Key-Driver121,Sub-Key driver121,Defect Area Associate121,QA Comments on Associate Action121,Metric name121,investigator_task121,investigator_queue121,investigator121,verification_action121,correct investigator action121,Investigator Key-Driver121,Defect Area Investigator121,QA Comments on investigator Action121,General Notes121,Action_correctly_captured121,Audit_outcome121,13/07/2021,Type_of_audit121,If_data_correctly_captured121
country122,QS Login122,Status122,seller_id122,Task ID122,associate_queue122,associate122,48,associate_action122,correct associate action122,Associate Key-Driver122,Sub-Key driver122,Defect Area Associate122,QA Comments on Associate Action122,Metric name122,investigator_task122,investigator_queue122,investigator122,verification_action122,correct investigator action122,Investigator Key-Driver122,Defect Area Investigator122,QA Comments on investigator Action122,General Notes122,Action_correctly_captured122,Audit_outcome122,13/07/2021,Type_of_audit122,If_data_correctly_captured122
country123,QS Login123,Status123,seller_id123,Task ID123,associate_queue123,associate123,48,associate_action123,correct associate action123,Associate Key-Driver123,Sub-Key driver123,Defect Area Associate123,QA Comments on Associate Action123,Metric name123,investigator_task123,investigator_queue123,investigator123,verification_action123,correct investigator action123,Investigator Key-Driver123,Defect Area Investigator123,QA Comments on investigator Action123,General Notes123,Action_correctly_captured123,Audit_outcome123,13/07/2021,Type_of_audit123,If_data_correctly_captured123
country124,QS Login124,Status124,seller_id124,Task ID124,associate_queue124,associate124,48,associate_action124,correct associate action124,Associate Key-Driver124,Sub-Key driver124,Defect Area Associate124,QA Comments on Associate Action124,Metric name124,investigator_task124,investigator_queue124,investigator124,verification_action124,correct investigator action124,Investigator Key-Driver124,Defect Area Investigator124,QA Comments on investigator Action124,General Notes124,Action_correctly_captured124,Audit_outcome124,13/07/2021,Type_of_audit124,If_data_correctly_captured124
country125,QS Login125,Status125,seller_id125,Task ID125,associate_queue125,associate125,48,associate_action125,correct associate action125,Associate Key-Driver125,Sub-Key driver125,Defect Area Associate125,QA Comments on Associate Action125,Metric name125,investigator_task125,investigator_queue125,investigator125,verification_action125,correct investigator action125,Investigator Key-Driver125,Defect Area Investigator125,QA Comments on investigator Action125,General Notes125,Action_correctly_captured125,Audit_outcome125,13/07/2021,Type_of_audit125,If_data_correctly_captured125
country126,QS Login126,Status126,seller_id126,Task ID126,associate_queue126,associate126,48,associate_action126,correct associate action126,Associate Key-Driver126,Sub-Key driver126,Defect Area Associate126,QA Comments on Associate Action126,Metric name126,investigator_task126,investigator_queue126,investigator126,verification_action126,correct investigator action126,Investigator Key-Driver126,Defect Area Investigator126,QA Comments on investigator Action126,General Notes126,Action_correctly_captured126,Audit_outcome126,13/07/2021,Type_of_audit126,If_data_correctly_captured126
country127,QS Login127,Status127,seller_id127,Task ID127,associate_queue127,associate127,48,associate_action127,correct associate action127,Associate Key-Driver127,Sub-Key driver127,Defect Area Associate127,QA Comments on Associate Action127,Metric name127,investigator_task127,investigator_queue127,investigator127,verification_action127,correct investigator action127,Investigator Key-Driver127,Defect Area Investigator127,QA Comments on investigator Action127,General Notes127,Action_correctly_captured127,Audit_outcome127,13/07/2021,Type_of_audit127,If_data_correctly_captured127
country128,QS Login128,Status128,seller_id128,Task ID128,associate_queue128,associate128,48,associate_action128,correct associate action128,Associate Key-Driver128,Sub-Key driver128,Defect Area Associate128,QA Comments on Associate Action128,Metric name128,investigator_task128,investigator_queue128,investigator128,verification_action128,correct investigator action128,Investigator Key-Driver128,Defect Area Investigator128,QA Comments on investigator Action128,General Notes128,Action_correctly_captured128,Audit_outcome128,13/07/2021,Type_of_audit128,If_data_correctly_captured128
country129,QS Login129,Status129,seller_id129,Task ID129,associate_queue129,associate129,48,associate_action129,correct associate action129,Associate Key-Driver129,Sub-Key driver129,Defect Area Associate129,QA Comments on Associate Action129,Metric name129,investigator_task129,investigator_queue129,investigator129,verification_action129,correct investigator action129,Investigator Key-Driver129,Defect Area Investigator129,QA Comments on investigator Action129,General Notes129,Action_correctly_captured129,Audit_outcome129,13/07/2021,Type_of_audit129,If_data_correctly_captured129
country130,QS Login130,Status130,seller_id130,Task ID130,associate_queue130,associate130,48,associate_action130,correct associate action130,Associate Key-Driver130,Sub-Key driver130,Defect Area Associate130,QA Comments on Associate Action130,Metric name130,investigator_task130,investigator_queue130,investigator130,verification_action130,correct investigator action130,Investigator Key-Driver130,Defect Area Investigator130,QA Comments on investigator Action130,General Notes130,Action_correctly_captured130,Audit_outcome130,13/07/2021,Type_of_audit130,If_data_correctly_captured130
country131,QS Login131,Status131,seller_id131,Task ID131,associate_queue131,associate131,48,associate_action131,correct associate action131,Associate Key-Driver131,Sub-Key driver131,Defect Area Associate131,QA Comments on Associate Action131,Metric name131,investigator_task131,investigator_queue131,investigator131,verification_action131,correct investigator action131,Investigator Key-Driver131,Defect Area Investigator131,QA Comments on investigator Action131,General Notes131,Action_correctly_captured131,Audit_outcome131,13/07/2021,Type_of_audit131,If_data_correctly_captured131
country132,QS Login132,Status132,seller_id132,Task ID132,associate_queue132,associate132,48,associate_action132,correct associate action132,Associate Key-Driver132,Sub-Key driver132,Defect Area Associate132,QA Comments on Associate Action132,Metric name132,investigator_task132,investigator_queue132,investigator132,verification_action132,correct investigator action132,Investigator Key-Driver132,Defect Area Investigator132,QA Comments on investigator Action132,General Notes132,Action_correctly_captured132,Audit_outcome132,13/07/2021,Type_of_audit132,If_data_correctly_captured132
country133,QS Login133,Status133,seller_id133,Task ID133,associate_queue133,associate133,48,associate_action133,correct associate action133,Associate Key-Driver133,Sub-Key driver133,Defect Area Associate133,QA Comments on Associate Action133,Metric name133,investigator_task133,investigator_queue133,investigator133,verification_action133,correct investigator action133,Investigator Key-Driver133,Defect Area Investigator133,QA Comments on investigator Action133,General Notes133,Action_correctly_captured133,Audit_outcome133,13/07/2021,Type_of_audit133,If_data_correctly_captured133
country134,QS Login134,Status134,seller_id134,Task ID134,associate_queue134,associate134,48,associate_action134,correct associate action134,Associate Key-Driver134,Sub-Key driver134,Defect Area Associate134,QA Comments on Associate Action134,Metric name134,investigator_task134,investigator_queue134,investigator134,verification_action134,correct investigator action134,Investigator Key-Driver134,Defect Area Investigator134,QA Comments on investigator Action134,General Notes134,Action_correctly_captured134,Audit_outcome134,13/07/2021,Type_of_audit134,If_data_correctly_captured134
country135,QS Login135,Status135,seller_id135,Task ID135,associate_queue135,associate135,48,associate_action135,correct associate action135,Associate Key-Driver135,Sub-Key driver135,Defect Area Associate135,QA Comments on Associate Action135,Metric name135,investigator_task135,investigator_queue135,investigator135,verification_action135,correct investigator action135,Investigator Key-Driver135,Defect Area Investigator135,QA Comments on investigator Action135,General Notes135,Action_correctly_captured135,Audit_outcome135,13/07/2021,Type_of_audit135,If_data_correctly_captured135
country136,QS Login136,Status136,seller_id136,Task ID136,associate_queue136,associate136,48,associate_action136,correct associate action136,Associate Key-Driver136,Sub-Key driver136,Defect Area Associate136,QA Comments on Associate Action136,Metric name136,investigator_task136,investigator_queue136,investigator136,verification_action136,correct investigator action136,Investigator Key-Driver136,Defect Area Investigator136,QA Comments on investigator Action136,General Notes136,Action_correctly_captured136,Audit_outcome136,13/07/2021,Type_of_audit136,If_data_correctly_captured136
country137,QS Login137,Status137,seller_id137,Task ID137,associate_queue137,associate137,48,associate_action137,correct associate action137,Associate Key-Driver137,Sub-Key driver137,Defect Area Associate137,QA Comments on Associate Action137,Metric name137,investigator_task137,investigator_queue137,investigator137,verification_action137,correct investigator action137,Investigator Key-Driver137,Defect Area Investigator137,QA Comments on investigator Action137,General Notes137,Action_correctly_captured137,Audit_outcome137,13/07/2021,Type_of_audit137,If_data_correctly_captured137
country138,QS Login138,Status138,seller_id138,Task ID138,associate_queue138,associate138,48,associate_action138,correct associate action138,Associate Key-Driver138,Sub-Key driver138,Defect Area Associate138,QA Comments on Associate Action138,Metric name138,investigator_task138,investigator_queue138,investigator138,verification_action138,correct investigator action138,Investigator Key-Driver138,Defect Area Investigator138,QA Comments on investigator Action138,General Notes138,Action_correctly_captured138,Audit_outcome138,13/07/2021,Type_of_audit138,If_data_correctly_captured138
country139,QS Login139,Status139,seller_id139,Task ID139,associate_queue139,associate139,48,associate_action139,correct associate action139,Associate Key-Driver139,Sub-Key driver139,Defect Area Associate139,QA Comments on Associate Action139,Metric name139,investigator_task139,investigator_queue139,investigator139,verification_action139,correct investigator action139,Investigator Key-Driver139,Defect Area Investigator139,QA Comments on investigator Action139,General Notes139,Action_correctly_captured139,Audit_outcome139,13/07/2021,Type_of_audit139,If_data_correctly_captured139
country140,QS Login140,Status140,seller_id140,Task ID140,associate_queue140,associate140,48,associate_action140,correct associate action140,Associate Key-Driver140,Sub-Key driver140,Defect Area Associate140,QA Comments on Associate Action140,Metric name140,investigator_task140,investigator_queue140,investigator140,verification_action140,correct investigator action140,Investigator Key-Driver140,Defect Area Investigator140,QA Comments on investigator Action140,General Notes140,Action_correctly_captured140,Audit_outcome140,13/07/2021,Type_of_audit140,If_data_correctly_captured140
country141,QS Login141,Status141,seller_id141,Task ID141,associate_queue141,associate141,48,associate_action141,correct associate action141,Associate Key-Driver141,Sub-Key driver141,Defect Area Associate141,QA Comments on Associate Action141,Metric name141,investigator_task141,investigator_queue141,investigator141,verification_action141,correct investigator action141,Investigator Key-Driver141,Defect Area Investigator141,QA Comments on investigator Action141,General Notes141,Action_correctly_captured141,Audit_outcome141,13/07/2021,Type_of_audit141,If_data_correctly_captured141
country142,QS Login142,Status142,seller_id142,Task ID142,associate_queue142,associate142,48,associate_action142,correct associate action142,Associate Key-Driver142,Sub-Key driver142,Defect Area Associate142,QA Comments on Associate Action142,Metric name142,investigator_task142,investigator_queue142,investigator142,verification_action142,correct investigator action142,Investigator Key-Driver142,Defect Area Investigator142,QA Comments on investigator Action142,General Notes142,Action_correctly_captured142,Audit_outcome142,13/07/2021,Type_of_audit142,If_data_correctly_captured142
country143,QS Login143,Status143,seller_id143,Task ID143,associate_queue143,associate143,48,associate_action143,correct associate action143,Associate Key-Driver143,Sub-Key driver143,Defect Area Associate143,QA Comments on Associate Action143,Metric name143,investigator_task143,investigator_queue143,investigator143,verification_action143,correct investigator action143,Investigator Key-Driver143,Defect Area Investigator143,QA Comments on investigator Action143,General Notes143,Action_correctly_captured143,Audit_outcome143,13/07/2021,Type_of_audit143,If_data_correctly_captured143
country144,QS Login144,Status144,seller_id144,Task ID144,associate_queue144,associate144,48,associate_action144,correct associate action144,Associate Key-Driver144,Sub-Key driver144,Defect Area Associate144,QA Comments on Associate Action144,Metric name144,investigator_task144,investigator_queue144,investigator144,verification_action144,correct investigator action144,Investigator Key-Driver144,Defect Area Investigator144,QA Comments on investigator Action144,General Notes144,Action_correctly_captured144,Audit_outcome144,13/07/2021,Type_of_audit144,If_data_correctly_captured144
country145,QS Login145,Status145,seller_id145,Task ID145,associate_queue145,associate145,48,associate_action145,correct associate action145,Associate Key-Driver145,Sub-Key driver145,Defect Area Associate145,QA Comments on Associate Action145,Metric name145,investigator_task145,investigator_queue145,investigator145,verification_action145,correct investigator action145,Investigator Key-Driver145,Defect Area Investigator145,QA Comments on investigator Action145,General Notes145,Action_correctly_captured145,Audit_outcome145,13/07/2021,Type_of_audit145,If_data_correctly_captured145
country146,QS Login146,Status146,seller_id146,Task ID146,associate_queue146,associate146,48,associate_action146,correct associate action146,Associate Key-Driver146,Sub-Key driver146,Defect Area Associate146,QA Comments on Associate Action146,Metric name146,investigator_task146,investigator_queue146,investigator146,verification_action146,correct investigator action146,Investigator Key-Driver146,Defect Area Investigator146,QA Comments on investigator Action146,General Notes146,Action_correctly_captured146,Audit_outcome146,13/07/2021,Type_of_audit146,If_data_correctly_captured146
country147,QS Login147,Status147,seller_id147,Task ID147,associate_queue147,associate147,48,associate_action147,correct associate action147,Associate Key-Driver147,Sub-Key driver147,Defect Area Associate147,QA Comments on Associate Action147,Metric name147,investigator_task147,investigator_queue147,investigator147,verification_action147,correct investigator action147,Investigator Key-Driver147,Defect Area Investigator147,QA Comments on investigator Action147,General Notes147,Action_correctly_captured147,Audit_outcome147,13/07/2021,Type_of_audit147,If_data_correctly_captured147
country148,QS Login148,Status148,seller_id148,Task ID148,associate_queue148,associate148,48,associate_action148,correct associate action148,Associate Key-Driver148,Sub-Key driver148,Defect Area Associate148,QA Comments on Associate Action148,Metric name148,investigator_task148,investigator_queue148,investigator148,verification_action148,correct investigator action148,Investigator Key-Driver148,Defect Area Investigator148,QA Comments on investigator Action148,General Notes148,Action_correctly_captured148,Audit_outcome148,13/07/2021,Type_of_audit148,If_data_correctly_captured148
country149,QS Login149,Status149,seller_id149,Task ID149,associate_queue149,associate149,48,associate_action149,correct associate action149,Associate Key-Driver149,Sub-Key driver149,Defect Area Associate149,QA Comments on Associate Action149,Metric name149,investigator_task149,investigator_queue149,investigator149,verification_action149,correct investigator action149,Investigator Key-Driver149,Defect Area Investigator149,QA Comments on investigator Action149,General Notes149,Action_correctly_captured149,Audit_outcome149,13/07/2021,Type_of_audit149,If_data_correctly_captured149
country150,QS Login150,Status150,seller_id150,Task ID150,associate_queue150,associate150,48,associate_action150,correct associate action150,Associate Key-Driver150,Sub-Key driver150,Defect Area Associate150,QA Comments on Associate Action150,Metric name150,investigator_task150,investigator_queue150,investigator150,verification_action150,correct investigator action150,Investigator Key-Driver150,Defect Area Investigator150,QA Comments on investigator Action150,General Notes150,Action_correctly_captured150,Audit_outcome150,13/07/2021,Type_of_audit150,If_data_correctly_captured150
country151,QS Login151,Status151,seller_id151,Task ID151,associate_queue151,associate151,48,associate_action151,correct associate action151,Associate Key-Driver151,Sub-Key driver151,Defect Area Associate151,QA Comments on Associate Action151,Metric name151,investigator_task151,investigator_queue151,investigator151,verification_action151,correct investigator action151,Investigator Key-Driver151,Defect Area Investigator151,QA Comments on investigator Action151,General Notes151,Action_correctly_captured151,Audit_outcome151,13/07/2021,Type_of_audit151,If_data_correctly_captured151
country152,QS Login152,Status152,seller_id152,Task ID152,associate_queue152,associate152,48,associate_action152,correct associate action152,Associate Key-Driver152,Sub-Key driver152,Defect Area Associate152,QA Comments on Associate Action152,Metric name152,investigator_task152,investigator_queue152,investigator152,verification_action152,correct investigator action152,Investigator Key-Driver152,Defect Area Investigator152,QA Comments on investigator Action152,General Notes152,Action_correctly_captured152,Audit_outcome152,13/07/2021,Type_of_audit152,If_data_correctly_captured152
country153,QS Login153,Status153,seller_id153,Task ID153,associate_queue153,associate153,48,associate_action153,correct associate action153,Associate Key-Driver153,Sub-Key driver153,Defect Area Associate153,QA Comments on Associate Action153,Metric name153,investigator_task153,investigator_queue153,investigator153,verification_action153,correct investigator action153,Investigator Key-Driver153,Defect Area Investigator153,QA Comments on investigator Action153,General Notes153,Action_correctly_captured153,Audit_outcome153,13/07/2021,Type_of_audit153,If_data_correctly_captured153
country154,QS Login154,Status154,seller_id154,Task ID154,associate_queue154,associate154,48,associate_action154,correct associate action154,Associate Key-Driver154,Sub-Key driver154,Defect Area Associate154,QA Comments on Associate Action154,Metric name154,investigator_task154,investigator_queue154,investigator154,verification_action154,correct investigator action154,Investigator Key-Driver154,Defect Area Investigator154,QA Comments on investigator Action154,General Notes154,Action_correctly_captured154,Audit_outcome154,13/07/2021,Type_of_audit154,If_data_correctly_captured154
country155,QS Login155,Status155,seller_id155,Task ID155,associate_queue155,associate155,48,associate_action155,correct associate action155,Associate Key-Driver155,Sub-Key driver155,Defect Area Associate155,QA Comments on Associate Action155,Metric name155,investigator_task155,investigator_queue155,investigator155,verification_action155,correct investigator action155,Investigator Key-Driver155,Defect Area Investigator155,QA Comments on investigator Action155,General Notes155,Action_correctly_captured155,Audit_outcome155,13/07/2021,Type_of_audit155,If_data_correctly_captured155
country156,QS Login156,Status156,seller_id156,Task ID156,associate_queue156,associate156,48,associate_action156,correct associate action156,Associate Key-Driver156,Sub-Key driver156,Defect Area Associate156,QA Comments on Associate Action156,Metric name156,investigator_task156,investigator_queue156,investigator156,verification_action156,correct investigator action156,Investigator Key-Driver156,Defect Area Investigator156,QA Comments on investigator Action156,General Notes156,Action_correctly_captured156,Audit_outcome156,13/07/2021,Type_of_audit156,If_data_correctly_captured156
country157,QS Login157,Status157,seller_id157,Task ID157,associate_queue157,associate157,48,associate_action157,correct associate action157,Associate Key-Driver157,Sub-Key driver157,Defect Area Associate157,QA Comments on Associate Action157,Metric name157,investigator_task157,investigator_queue157,investigator157,verification_action157,correct investigator action157,Investigator Key-Driver157,Defect Area Investigator157,QA Comments on investigator Action157,General Notes157,Action_correctly_captured157,Audit_outcome157,13/07/2021,Type_of_audit157,If_data_correctly_captured157
country158,QS Login158,Status158,seller_id158,Task ID158,associate_queue158,associate158,48,associate_action158,correct associate action158,Associate Key-Driver158,Sub-Key driver158,Defect Area Associate158,QA Comments on Associate Action158,Metric name158,investigator_task158,investigator_queue158,investigator158,verification_action158,correct investigator action158,Investigator Key-Driver158,Defect Area Investigator158,QA Comments on investigator Action158,General Notes158,Action_correctly_captured158,Audit_outcome158,13/07/2021,Type_of_audit158,If_data_correctly_captured158
country159,QS Login159,Status159,seller_id159,Task ID159,associate_queue159,associate159,48,associate_action159,correct associate action159,Associate Key-Driver159,Sub-Key driver159,Defect Area Associate159,QA Comments on Associate Action159,Metric name159,investigator_task159,investigator_queue159,investigator159,verification_action159,correct investigator action159,Investigator Key-Driver159,Defect Area Investigator159,QA Comments on investigator Action159,General Notes159,Action_correctly_captured159,Audit_outcome159,13/07/2021,Type_of_audit159,If_data_correctly_captured159
country160,QS Login160,Status160,seller_id160,Task ID160,associate_queue160,associate160,48,associate_action160,correct associate action160,Associate Key-Driver160,Sub-Key driver160,Defect Area Associate160,QA Comments on Associate Action160,Metric name160,investigator_task160,investigator_queue160,investigator160,verification_action160,correct investigator action160,Investigator Key-Driver160,Defect Area Investigator160,QA Comments on investigator Action160,General Notes160,Action_correctly_captured160,Audit_outcome160,13/07/2021,Type_of_audit160,If_data_correctly_captured160
country161,QS Login161,Status161,seller_id161,Task ID161,associate_queue161,associate161,48,associate_action161,correct associate action161,Associate Key-Driver161,Sub-Key driver161,Defect Area Associate161,QA Comments on Associate Action161,Metric name161,investigator_task161,investigator_queue161,investigator161,verification_action161,correct investigator action161,Investigator Key-Driver161,Defect Area Investigator161,QA Comments on investigator Action161,General Notes161,Action_correctly_captured161,Audit_outcome161,13/07/2021,Type_of_audit161,If_data_correctly_captured161
country162,QS Login162,Status162,seller_id162,Task ID162,associate_queue162,associate162,48,associate_action162,correct associate action162,Associate Key-Driver162,Sub-Key driver162,Defect Area Associate162,QA Comments on Associate Action162,Metric name162,investigator_task162,investigator_queue162,investigator162,verification_action162,correct investigator action162,Investigator Key-Driver162,Defect Area Investigator162,QA Comments on investigator Action162,General Notes162,Action_correctly_captured162,Audit_outcome162,13/07/2021,Type_of_audit162,If_data_correctly_captured162
country163,QS Login163,Status163,seller_id163,Task ID163,associate_queue163,associate163,48,associate_action163,correct associate action163,Associate Key-Driver163,Sub-Key driver163,Defect Area Associate163,QA Comments on Associate Action163,Metric name163,investigator_task163,investigator_queue163,investigator163,verification_action163,correct investigator action163,Investigator Key-Driver163,Defect Area Investigator163,QA Comments on investigator Action163,General Notes163,Action_correctly_captured163,Audit_outcome163,13/07/2021,Type_of_audit163,If_data_correctly_captured163
country164,QS Login164,Status164,seller_id164,Task ID164,associate_queue164,associate164,48,associate_action164,correct associate action164,Associate Key-Driver164,Sub-Key driver164,Defect Area Associate164,QA Comments on Associate Action164,Metric name164,investigator_task164,investigator_queue164,investigator164,verification_action164,correct investigator action164,Investigator Key-Driver164,Defect Area Investigator164,QA Comments on investigator Action164,General Notes164,Action_correctly_captured164,Audit_outcome164,13/07/2021,Type_of_audit164,If_data_correctly_captured164
country165,QS Login165,Status165,seller_id165,Task ID165,associate_queue165,associate165,48,associate_action165,correct associate action165,Associate Key-Driver165,Sub-Key driver165,Defect Area Associate165,QA Comments on Associate Action165,Metric name165,investigator_task165,investigator_queue165,investigator165,verification_action165,correct investigator action165,Investigator Key-Driver165,Defect Area Investigator165,QA Comments on investigator Action165,General Notes165,Action_correctly_captured165,Audit_outcome165,13/07/2021,Type_of_audit165,If_data_correctly_captured165
country166,QS Login166,Status166,seller_id166,Task ID166,associate_queue166,associate166,48,associate_action166,correct associate action166,Associate Key-Driver166,Sub-Key driver166,Defect Area Associate166,QA Comments on Associate Action166,Metric name166,investigator_task166,investigator_queue166,investigator166,verification_action166,correct investigator action166,Investigator Key-Driver166,Defect Area Investigator166,QA Comments on investigator Action166,General Notes166,Action_correctly_captured166,Audit_outcome166,13/07/2021,Type_of_audit166,If_data_correctly_captured166
country167,QS Login167,Status167,seller_id167,Task ID167,associate_queue167,associate167,48,associate_action167,correct associate action167,Associate Key-Driver167,Sub-Key driver167,Defect Area Associate167,QA Comments on Associate Action167,Metric name167,investigator_task167,investigator_queue167,investigator167,verification_action167,correct investigator action167,Investigator Key-Driver167,Defect Area Investigator167,QA Comments on investigator Action167,General Notes167,Action_correctly_captured167,Audit_outcome167,13/07/2021,Type_of_audit167,If_data_correctly_captured167
country168,QS Login168,Status168,seller_id168,Task ID168,associate_queue168,associate168,48,associate_action168,correct associate action168,Associate Key-Driver168,Sub-Key driver168,Defect Area Associate168,QA Comments on Associate Action168,Metric name168,investigator_task168,investigator_queue168,investigator168,verification_action168,correct investigator action168,Investigator Key-Driver168,Defect Area Investigator168,QA Comments on investigator Action168,General Notes168,Action_correctly_captured168,Audit_outcome168,13/07/2021,Type_of_audit168,If_data_correctly_captured168
country169,QS Login169,Status169,seller_id169,Task ID169,associate_queue169,associate169,48,associate_action169,correct associate action169,Associate Key-Driver169,Sub-Key driver169,Defect Area Associate169,QA Comments on Associate Action169,Metric name169,investigator_task169,investigator_queue169,investigator169,verification_action169,correct investigator action169,Investigator Key-Driver169,Defect Area Investigator169,QA Comments on investigator Action169,General Notes169,Action_correctly_captured169,Audit_outcome169,13/07/2021,Type_of_audit169,If_data_correctly_captured169
country170,QS Login170,Status170,seller_id170,Task ID170,associate_queue170,associate170,48,associate_action170,correct associate action170,Associate Key-Driver170,Sub-Key driver170,Defect Area Associate170,QA Comments on Associate Action170,Metric name170,investigator_task170,investigator_queue170,investigator170,verification_action170,correct investigator action170,Investigator Key-Driver170,Defect Area Investigator170,QA Comments on investigator Action170,General Notes170,Action_correctly_captured170,Audit_outcome170,13/07/2021,Type_of_audit170,If_data_correctly_captured170
country171,QS Login171,Status171,seller_id171,Task ID171,associate_queue171,associate171,48,associate_action171,correct associate action171,Associate Key-Driver171,Sub-Key driver171,Defect Area Associate171,QA Comments on Associate Action171,Metric name171,investigator_task171,investigator_queue171,investigator171,verification_action171,correct investigator action171,Investigator Key-Driver171,Defect Area Investigator171,QA Comments on investigator Action171,General Notes171,Action_correctly_captured171,Audit_outcome171,13/07/2021,Type_of_audit171,If_data_correctly_captured171
